college,cases,LAT,LON
Fort Valley State University,50,32.537595,-83.89537
Georgia College & State University,740,33.082787,-83.231962
Georgia Gwinnett College,110,33.979409,-84.00459
Georgia Highlands College,55,34.169791,-85.207356
Georgia Institute of Technology,984,33.77242,-84.394832
Georgia Military College,1,33.07944,-83.224211
Georgia Southern University,1211,32.426153,-81.784045
Georgia Southwestern State University,41,32.054662,-84.217738
Georgia State University,237,33.7527,-84.38667
Gordon State College,19,33.04571,-84.154508
Kennesaw State University,370,34.038807,-84.583052
LaGrange College,21,33.038564,-85.043113
Mercer University,281,32.831787,-83.648295
Middle Georgia State University,197,32.808092,-83.732058
Morehouse College,,33.745982,-84.414917
Oglethorpe University,3,33.875441,-84.333687
Piedmont College,,34.566042,-83.542126
Savannah State University,40,32.024781,-81.063377
Shorter University,,34.257543,-85.196529
South Georgia State College,35,31.495903,-82.855231
University of Georgia,4049,33.956262,-83.374039
University of North Georgia,431,34.530219,-83.985694
University of West Georgia,191,33.573621,-85.097762
Valdosta State University,158,30.847402,-83.289282
Wesleyan College,24,32.876037,-83.715417
Young Harris College,37,34.933523,-83.84587
University of Guam,,13.433047,144.803978
Brigham Young University-Hawaii,3,21.642074,-157.926586
Chaminade University of Honolulu,,21.28995,-157.807851
Hawaii Pacific University,1,21.310306,-157.859645
Kapiolani Community College,3,21.27148,-157.800213
Leeward Community College,3,21.39267,-157.983771
University of Hawaii Maui College,1,20.88956,-156.477252
University of Hawaii at Hilo,3,19.701189,-155.080847
University of Hawaii at Manoa,23,21.298598,-157.818979
University of Hawaii-West Oahu,0,21.35531,-158.056403
Boise State University,507,43.604284,-116.203301
Brigham Young University-Idaho,119,43.818408,-111.782431
College of Idaho ,43,43.652284,-116.677992
College of Southern Idaho,107,42.579837,-114.473901
Idaho State University,285,42.863832,-112.432312
Lewis-Clark State College,34,46.412199,-117.024875
North Idaho College,38,47.67569,-116.798905
Northwest Nazarene University,37,43.562411,-116.565783
University of Idaho,424,46.727406,-117.014167
Augustana College,23,41.502365,-90.55057
Aurora University,51,41.753631,-88.349023
Benedictine University,7,41.777569,-88.097307
Blackburn College,,39.287896,-89.870241
Bradley University,351,40.696896,-89.616786
Chicago State University,21,41.718446,-87.609384
Columbia College Chicago,3,41.874261,-87.624667
Concordia University Chicago,4,41.898696,-87.809482
DePaul University,12,41.877618,-87.62724
Dominican University,41,41.902678,-87.823003
Eastern Illinois University,357,39.479843,-88.175658
Elmhurst University,34,41.897164,-87.945369
Eureka College,23,40.71482,-89.269624
Governors State University,18,41.449103,-87.716441
Greenville University,34,38.894162,-89.40824
Illinois College,8,39.7313,-90.246171
Illinois Institute of Technology,60,41.8313,-87.627321
Illinois State University,1438,40.509403,-88.990058
Illinois Wesleyan University,131,40.489901,-88.992014
Kaskaskia College,44,38.562112,-89.191974
Knox College,24,40.943064,-90.373165
Lake Forest College,7,42.249574,-87.827454
Lake Land College,41,39.416969,-88.380835
Lewis University,58,41.605432,-88.079032
Loyola University Chicago,19,42.000765,-87.656872
McKendree University,100,38.608154,-89.816822
Midwestern University at Downers Grove,49,41.828115,-87.998342
Millikin University,59,39.842612,-88.976298
Monmouth College,29,40.914824,-90.63731
Moody Bible Institute,11,41.897822,-87.633459
North Central College,39,41.77576,-88.14279
North Park University,69,41.975268,-87.709948
Northeastern Illinois University,66,41.980399,-87.718983
Northern Illinois University ,340,41.933869,-88.766428
Northwestern University,170,42.050356,-87.679858
Olivet Nazarene University,23,41.155237,-87.875165
Parkland College,76,40.131963,-88.290359
Principia College,3,38.948835,-90.350285
Quincy University,129,39.938898,-91.385975
Rockford University,54,42.270639,-89.019536
Saint Xavier University,42,41.707199,-87.714749
School of the Art Institute of Chicago,10,41.88105,-87.625758
Southeastern Illinois College,11,37.75174,-88.436631
Southern Illinois University Carbondale,108,37.714193,-89.217273
Southern Illinois University Edwardsville,140,38.793949,-89.997779
Southwestern Illinois College,,38.516406,-89.924466
University of Chicago,142,41.787994,-87.599539
University of Illinois Springfield,67,39.729524,-89.616796
University of Illinois Urbana-Champaign,2802,40.104718,-88.229114
University of Illinois at Chicago,232,41.871837,-87.650503
Western Illinois University,170,40.468086,-90.686899
Wheaton College,4,41.870176,-88.099643
Anderson University,8,40.112768,-85.664315
Ball State University,1087,40.203431,-85.409043
Butler University,165,39.8374,-86.172167
DePauw University,23,39.640904,-86.860363
Earlham College,14,39.823431,-84.915037
Franklin College,38,39.478298,-86.047182
Goshen College,46,41.563582,-85.827795
Hanover College,,38.715642,-85.460051000000007
Indiana State University,99,39.469073,-87.407846
Indiana University Bloomington,3139,39.16609,-86.526559
Indiana University East,19,39.868707,-84.881923
Indiana University Kokomo,14,40.460062,-86.132048
Indiana University Northwest,6,41.557324,-87.337249
Indiana University South Bend,15,41.665324,-86.221991
Indiana University Southeast,9,38.345191,-85.819985
Indiana University-Purdue University Indianapolis,105,39.772948,-86.172217
Manchester University,12,41.010549,-85.762643
Marian University,64,39.813233,-86.202643
Oakland City University,2,38.340891,-87.35144
Purdue University,1376,40.428206,-86.914435
Purdue University - Purdue Polytechnic Anderson,,40.09019,-85.654078
Purdue University - Purdue Polytechnic Columbus,,39.251345,-85.90086
Purdue University - Purdue Polytechnic Indianapolis,,39.730742,-86.300501
Purdue University - Purdue Polytechnic Kokomo,,40.459512,-86.131832
Purdue University - Purdue Polytechnic Lafayette,,40.376555,-86.796238
Purdue University - Purdue Polytechnic New Albany,,38.338707,-85.798801
Purdue University - Purdue Polytechnic Richmond,,39.867812,-84.881944
Purdue University - Purdue Polytechnic South Bend,,41.661509,-86.221842
Purdue University - Purdue Polytechnic Vincennes,,38.689809,-87.522656
Purdue University Fort Wayne,80,41.117278,-85.108962
Purdue University Northwest,78,41.584324,-87.474236
Rose-Hulman Institute of Technology,51,39.483602,-87.326749
Saint Mary's College,53,41.707274,-86.256947
Taylor University,29,40.456246,-85.497034
Trine University,109,41.632502,-85.008009
University of Evansville,79,37.971549,-87.531644
University of Indianapolis,99,39.709571,-86.133969
University of Notre Dame,949,41.703058,-86.238959
University of Southern Indiana,299,37.962374,-87.677214
Valparaiso University,41,41.462239,-87.040172
Vincennes University,12,38.687766,-87.519939
Wabash College,14,40.037588,-86.906
Buena Vista University,43,42.642255,-95.208529
Central College,30,41.401539,-92.922199
Clarke University,55,42.509475,-90.690487
Coe College,36,41.988263,-91.658192
Cornell College,7,41.924554,-91.423741
Dordt University,28,43.082527,-96.166562
Drake University,14,41.60129,-93.652163
Eastern Iowa Community College District,60,41.522179,-90.574459
Ellsworth Community College,32,42.527524,-93.265853
Graceland University,37,40.615966,-93.924893
Grand View University,67,41.620813,-93.604352
Grinnell College,10,41.747952,-92.722094
Hawkeye Community College,101,42.430003,-92.330633
Iowa State University,1399,42.026212,-93.648504
Iowa Wesleyan University,123,40.973791,-91.552459
Loras College,,42.503908,-90.679023
Luther College,7,43.312304,-91.802809
Marshalltown Community College,9,42.00065,-92.909411
Morningside College,140,42.473891,-96.359464
Northwestern College,78,42.999007,-96.058772
Saint Ambrose University,31,41.54065,-90.579854
